SIC Code,Exiobase mapping,Industry Title
100,Crops nec,AGRICULTURAL PRODUCTION-CROPS
200,Cattle,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES
700,Crops nec,AGRICULTURAL SERVICES
800,"Products of forestry, logging and related services (02)",FORESTRY
900,Fish and other fishing products; services incidental of fishing (05),"FISHING, HUNTING AND TRAPPING"
1000,Iron ores,METAL MINING
1040,Precious metal ores and concentrates,GOLD AND SILVER ORES
1090,Other non-ferrous metal ores and concentrates,MISCELLANEOUS METAL ORES
1220,Other Bituminous Coal,BITUMINOUS COAL & LIGNITE MINING
1221,Other Bituminous Coal,BITUMINOUS COAL & LIGNITE SURFACE MINING
1311,"Crude petroleum and services related to crude oil extraction, excluding surveying",CRUDE PETROLEUM & NATURAL GAS
1381,"Crude petroleum and services related to crude oil extraction, excluding surveying",DRILLING OIL & GAS WELLS
1382,"Crude petroleum and services related to crude oil extraction, excluding surveying",OIL & GAS FIELD EXPLORATION SERVICES
1389,"Crude petroleum and services related to crude oil extraction, excluding surveying","OIL & GAS FIELD SERVICES, NEC"
1400,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
1520,Construction work (45),GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
1531,Construction work (45),OPERATIVE BUILDERS
1540,Construction work (45),GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS
1600,Construction work (45),HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
1623,Construction work (45),"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION"
1700,Construction work (45),CONSTRUCTION - SPECIAL TRADE CONTRACTORS
1731,Construction work (45),ELECTRICAL WORK
2000,Food products nec,FOOD AND KINDRED PRODUCTS
2011,Products of meat cattle,MEAT PACKING PLANTS
2013,Meat products nec,SAUSAGES & OTHER PREPARED MEAT PRODUCTS
2015,Products of meat poultry,POULTRY SLAUGHTERING AND PROCESSING
2020,Dairy products,DAIRY PRODUCTS
2024,Dairy products,ICE CREAM & FROZEN DESSERTS
2030,Food products nec,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
2033,Food products nec,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
2040,Food products nec,GRAIN MILL PRODUCTS
2050,Food products nec,BAKERY PRODUCTS
2052,Food products nec,COOKIES & CRACKERS
2060,Sugar,SUGAR & CONFECTIONERY PRODUCTS
